query,n_relevant,n_retrieved,n_filters_applied,n_hits,hit,precision_at_k,recall_at_k,filters_applied,retrieved_row_uids,retrieved_titles
Dell business laptop under $1000,217,5,1,4,True,0.8,0.018433179723502304,price_usd < 1000,0ba39b8b2069b63e3f9051754ab9f70d|947ed1b01eb5584f3711d025701cd05f|acae1afeeace7d42049b359792493443|ae61ca7ed253688d79c2d3a7b376995d|e0e6c713f92c1b00381f96860b41ffff,"Dell Latitude 3380 | Dell Latitude 3380 | Dell Latitude 3180 | Dell Latitude E5470 | Dell Latitude 7420 i7-1185G7 16GB RAM 512GB NVMe 14"" FHD Screen 1920x1080 Backlit Keyboard, Bluetooth, WIFI Win 11 Pro"
HP laptop with AMD Ryzen processor,38,5,1,5,True,1.0,0.13157894736842105,cpu contains Ryzen/AMD,018c8a2835d81b0f464d2e1fa10d2020|27832f33b5a1e4ac9d7c7383536a8c70|2f56385a0c8dc7480ee7fbcce555d9b1|4f1ee90e78c8a63a1243c5352e2adbec|cb3fd80aac830db061a96a6a4897d14f,"HP EliteBook 845 G8 Laptop AMD Ryzen 5 Pro 5650U 2.30 GHz 16GB Memory 256GB SSD 14.0"" FHD Windows 11 Pro 64-bit Grade A | HP EliteBook 645 G9 Laptop AMD Ryzen 5 Pro 5675U 16GB Memory 256GB SSD 14.0"" FHD Windows 11 Pro | HP 17.3"" Laptop AMD Ryzen 5 7520U 16GB DDR5 Memory 1TB NVMe SSD Windows 11 Home (17-cp2038ds) | HP EliteBook 8 G2a 16"" Notebook - AMD Ryzen AI 7 450 - 32 GB - 1 TB SSD - Radeon 860M Graphics - Windows 11 Pro - Wi-Fi - DG4P0UT#ABA | HP EliteBook 865 G10 16"" Laptop, AMD Ryzen 7 PRO 7840U 3.3GHz, 32GB DDR5 RAM, 1TB NVMe NVMe, Thunderbolt 4, Webcam, Windows 11 Pro (Grade B)"
Lenovo laptop under $500,69,5,1,5,True,1.0,0.07246376811594203,price_usd < 500,09a99238673c47aa55bf9741161c747d|1c2a4c0e3574627d073ba1d49cb442e3|2f5f478aa7e6ffdc0b43ed96af13e07a|3f0d479844305f9a3dd647f8c9488034|b7a1b4dfd847f0c5101646fd459f8cd8,Lenovo V110-15ISK (i5-6200U/4GB/500GB/No | Lenovo IdeaPad 320-15ISK | Lenovo IdeaPad 320-15AST | Lenovo IdeaPad 320-15IAP | Lenovo Ideapad 320-15IAP
ASUS laptop with OLED display,10,5,0,2,True,0.4,0.2,,749c53cab91f258afdb49357ca8ee348|8b01c75ce6fdee3be02be83456af2bea|90d8f8e5d51c1a20e21bb311cbed0d55|9426b4e7177e763152f62c610f97998e|adb41686e55542ccc1891789c558ef1e,"Lenovo 15.3"" Legion 5i Gaming Laptop | ASUS - Zenbook 14 14"" 2K OLED Touchscreen Laptop - AMD Ryzen AI 9 465 2026 - 16GB Memory - 512GB Storage - Copilot+ PC - Jasper Gray | ASUS Zenbook DUO AI Powered 2-in-1 Laptop 14.0"" Touchscreen OLED WUXGA Display (Intel Ultra 9-285H, 32GB LPDDR5X, 2TB SSD, Backlit KB, 2 Thunderbolt 4, WiFi 7, Webcam, Bluetooth 5.4, Win 11 Home) | ASUS Vivobook 15.6"" FHD Touch Intel Core 7 150U 1.8 GHz up to 5.4 GHz 16GB DDR4 1TB PCIE G4 SSD Intel Graphics Windows 11 Home Laptop, Silver - F1504VAP-IH79T | ASUS Vivobook Laptop - 15.6 Inch FHD (1920x1080) Touchscreen, Intel Core 7 150U Processor, 16GB RAM - 1TB SSD, Intel Integrated Graphics, Windows 11 Home, Silver (F1504VAP-IH79T)"
Acer laptop under $500,32,5,1,5,True,1.0,0.15625,price_usd < 500,14ea6754746a9cfa16cc814d2eacbc05|25b947ef92674b05462250acc06d5b7f|2fd13fbc1137cb2b05d74caf89ba1a6b|3a0fcebeaf77fd24f7c023e3a63599c5|8901239dea42b59a3f92c662f49ca2c6,Acer Aspire E5-475 | Acer Aspire 3 | Acer Aspire ES1-533 | Acer Aspire A315-31 | Acer TravelMate B117-M
17 inch gaming laptop,89,5,1,1,True,0.2,0.011235955056179775,gpu is present,4749fda4e1e43e83126c48f3709a6040|4f3a9669508b21bf5f8b2ded627acdf8|92661c15f045e1326649acc11567e2c6|d30508627e83478d6a249a2079895f8c|dfd5c6c736499314c5af0560178dad58,"MSI 16"" Stealth A16 AI+ Gaming Laptop | Lenovo IdeaPad Slim 3 15.3"" AMD Ryzen 7 8840HS Laptop 16GB Memory 512 GB SSD AMD Radeon 780M Windows 11 Home 83KA003DUS | MSI 16"" Stealth A16 AI+ Gaming Laptop | Dell Alienware 17 | Dell Alienware 17"
compact 13 inch laptop under $800,205,5,1,2,True,0.4,0.00975609756097561,price_usd < 800,13cb5b0b8e864e8400129e3a425aad4c|1ae70d8819357843022f65d0b4f24e70|80dd87e399f9f1b4fb8c13f47728231c|d9e03370ac5806ec42d379fcaa7944aa|f575ed94f4dfaec926b7e3e66e08957d,"Chuwi LapBook 15.6"" | Lenovo N23 (N3060/4GB/128GB/W10) | Laptop, Window 11 Pro Laptop Computer 2026, 15.6 Inch Lap Top, 16GB RAM 512GB SSD PC, M3-6Y30 Processor, FHD Display, WIFI5, BT4.2, Webcam, for Business, School, Work, Student, Kids, Gray | Lenovo ThinkPad 13 | Lenovo V-Series V15 Business Laptop, 15.6"" FHD Display, AMD Ryzen 7 7730U, 16GB RAM, 512GB SSD, Numeric Keypad, HDMI, RJ45, Webcam, Wi-Fi, Windows 11 Pro, Black"
15.6 inch Full HD budget laptop under $500,17,5,1,1,True,0.2,0.058823529411764705,price_usd < 500,0713d01cec5e34cfcee0c0e4d6e734ef|1ae70d8819357843022f65d0b4f24e70|2f5f478aa7e6ffdc0b43ed96af13e07a|7c5745bfd5c7237214539eddcb0012ce|f575ed94f4dfaec926b7e3e66e08957d,"Chuwi LapBook 15.6"" | Lenovo IdeaPad 320-15IAP | Laptop, Window 11 Pro Laptop Computer 2026, 15.6 Inch Lap Top, 16GB RAM 512GB SSD PC, M3-6Y30 Processor, FHD Display, WIFI5, BT4.2, Webcam, for Business, School, Work, Student, Kids, Gray | Lenovo Ideapad 320-15IAP | Lenovo V110-15IAP (N3350/4GB/1TB/No"
workstation laptop with professional GPU,37,4,0,0,False,0.0,0.0,,3a227bd9ff33f4fdb068b9ce9048d1c1|4d4be52c746a7daf4b708900e740827a|4f3a9669508b21bf5f8b2ded627acdf8|84556cfbc29a31ddc8bd44b7a1842d43,"MSI 16"" Stealth A16 AI+ Gaming Laptop | HP 16"" ZBook Fury 16 G1i Mobile Workstation | ASUS VivoBook 16"" Copilot+ PC Laptop AMD Ryzen AI 5 340 16GB Memory 512 GB NVMe SSD AMD Radeon 840M Windows 11 Home M1607KA-DS54 | ASUS VivoBook 16 Laptop, 16"" WUXGA (1920 x 1200) 16:10 Display, AMD Ryzen 7 7730U CPU, AMD Radeon Graphics, 16GB RAM, 1TB SSD, Fingerprint Sensor, Windows 11 Home, Indie Black, M1605YA-ES74 | HP 16"" ZBook Fury 16 G1i Mobile Workstation"
laptop with integrated graphics only under $400,129,5,1,3,True,0.6,0.023255813953488372,price_usd < 400,071b7fb7929d290695ab003ff50d535a|8cf269010645cd246adaba72db7c46f0|b3ea18f1b0d24c775ce2d0e1817ad5ae|f453123841c3eb1682366353dac74aa9|f575ed94f4dfaec926b7e3e66e08957d,"DELL Latitude 12.5"" Intel Core i5-6300U 16GB Memory 480GB SSD Windows 10 Pro 64-bit E7270 | DELL Latitude 7400 Laptop Intel Core i5-8365U (1.60GHz) 16 GB Memory 256 GB SSD Intel UHD Graphics 14.0"" Windows 11 Pro | Dell Latitude 5430 Business Laptop - 14 Inch FHD (1920x1080) Touchscreen Display, Intel Core i7-1265U Processor, 16GB RAM - 512GB PCIe SSD, Intel Iris Xe Graphics, Backlit Keyboard, Windows 11 Pro | Laptop, Window 11 Pro Laptop Computer 2026, 15.6 Inch Lap Top, 16GB RAM 512GB SSD PC, M3-6Y30 Processor, FHD Display, WIFI5, BT4.2, Webcam, for Business, School, Work, Student, Kids, Gray | Dell Inspiron 3552"
laptop with over 10 hours battery life,67,5,1,0,False,0.0,0.0,price_usd > 10,1924719480f93eade97e9e4ed868a57f|6313c8bc61893438cd5660ed0bc9b407|84556cfbc29a31ddc8bd44b7a1842d43|a732ecd80f941eeab208ce642467fb4f|db13bdd42ce2c6dc6050b37eae960066,"Dell Latitude 7420 Laptop Intel Core i5-1145G7 16GB RAM 256GB SSD 14"" FHD Webcam Windows 11 Pro | Dell Latitude 7420 Laptop Intel Core i7 11th Gen 1185G7 3.00GHz 32GB Memory 256 GB SSD Intel Iris Xe Graphics 14.0"" FHD Touchscreen Webcam Windows 11 Pro | ASUS VivoBook 16"" Copilot+ PC Laptop AMD Ryzen AI 5 340 16GB Memory 512 GB NVMe SSD AMD Radeon 840M Windows 11 Home M1607KA-DS54 | MSI Venture 16 AI Touchscreen Laptop Intel Core Ultra 9 285H 32GB RAM 1TB SSD (A2HMTG-015US) | HP 14"" EliteBook 6 G1q Notebook Copilot+ PC"
Chromebook under $300,28,4,1,2,True,0.5,0.07142857142857142,price_usd < 300,1ba9948059465c6f1cf76fcfac4e4b24|379245310381be7dd490ccedbf502026|5805c0e62be9690f5e8ad5bf38587122|f3b04a45f9520e97e04dea4b23ac8ab1,"Acer Chromebook 15 | Acer Chromebook C910-C2ST | Acer 14"" Chromebook 314 | Acer C740-C9QX (3205U/2GB/32GB/Chrome | Acer 14"" Chromebook 314"
512GB SSD laptop under $600,24,4,3,4,True,1.0,0.16666666666666666,price_usd < 600 | storage contains SSD/PCIe/NVMe | storage contains 512gb,4aa9717218f6d56785c91939e82fcd30|71207e21c2e8e0ca0d97aa9ec246b55f|88ad112fdc9e91ff2a359b784870b912|bbcdb7fcf3d99b8041671fc4ee87094f,"DELL Latitude 5400 Laptop Intel Core i5-8265U 1.60 GHz 16GB RAM 512GB NVMe SSD 14.0"" HD Windows 11 Pro | Lenovo V15 G4 15.6"" Laptop, Intel Core i3-1315U, 16GB RAM, 512GB SSD, Windows 11 Home - 83A100PBUS | DELL Latitude 5400 Laptop Intel Core i5-8265U 1.60 GHz 16GB RAM 512GB NVMe SSD 14.0"" HD Windows 11 Pro | HP 15.6"" Laptop Intel Core i5-1334U 16GB Memory 512GB NVMe SSD 15.6"" FHD Windows 11 Home (15-FD0215DX) | DELL Latitude 5420 Laptop Intel Core i7-1185G7 16GB Memory 512GB NVMe SSD 14.0"" FHD Windows 11 Pro"
Intel Core Ultra laptop with 16GB RAM,74,4,1,0,False,0.0,0.0,ram_gb >= 16,07a183e4bbe5d7f5066c295776f4a51d|37cf772b7db3587c375952bb55e0a065|95685531db3bea3cb7052e58561a1032|ca60794909ffbd928e1b3141d4900004,"Dell 16"" Pro Max 16 Plus Notebook | Dell 16"" Pro Max 16 Notebook | Dell 16"" Pro Max 16 Plus Notebook | Dell 16"" Pro Max 16 Premium Laptop | Dell 16"" Pro Max 16 Premium Laptop"
laptop under $300 for basic browsing,114,5,1,4,True,0.8,0.03508771929824561,price_usd < 300,1ae70d8819357843022f65d0b4f24e70|1ba9948059465c6f1cf76fcfac4e4b24|379245310381be7dd490ccedbf502026|4943a378b44dfbb9506a9f3c2cb56f28|5805c0e62be9690f5e8ad5bf38587122,"Acer Chromebook 15 | Chuwi LapBook 15.6"" | Acer Chromebook C910-C2ST | Dell Latitude 5400 Laptop Intel Core i5-8365U 16GB RAM 256GB SSD 14.0"" FHD Windows 11 Pro | Acer 14"" Chromebook 314"
mid-range laptop $700-$1000 with SSD,88,5,1,0,False,0.0,0.0,storage contains SSD/PCIe/NVMe,0803650150c2c041534144be38874f81|17633c2eeb0fda9a7d40e5e4dae193ac|58640913cdec92c7ce5e41357af3090d|8a4dbef94ac91c81ea5fda22c8f14209|e6e546163f370d38b61d7b4b9228ea73,"Samsung Notebook Odyssey | Dell Latitude 7000 7450 14"" Notebook - Full HD Plus - Intel Core Ultra 7 155U - 16 GB - 512 GB SSD - Titan Gray | Lenovo ThinkPad T470s | Lenovo Thinkpad T470s | Lenovo ThinkPad T470s"
gaming laptop under $1000,69,5,2,2,True,0.4,0.028985507246376812,price_usd < 1000 | gpu is present,22df04e08707758bcc7ac32e88f544f1|5e9ecf305f360f79a2bb07918d1b741c|8cf269010645cd246adaba72db7c46f0|ad0be4f84768d8aefbe52b08f944fcd9|dfd5c6c736499314c5af0560178dad58,"DELL Latitude 7400 Laptop Intel Core i5-8365U (1.60GHz) 16 GB Memory 256 GB SSD Intel UHD Graphics 14.0"" Windows 11 Pro | Lenovo Legion Y520-15IKBN | Lenovo Legion Y520-15IKBN | Lenovo IdeaPad Slim 3 15.3"" AMD Ryzen 7 8840HS Laptop 16GB Memory 512 GB SSD AMD Radeon 780M Windows 11 Home 83KA003DUS | MSI PL60 7RD"
business laptop 14 inch under $1200,249,5,1,1,True,0.2,0.004016064257028112,price_usd < 1200,1a6b82a671d8823330ceca126e938acf|1ae70d8819357843022f65d0b4f24e70|8c6c62a3dc168b167d722be33a953642|8d932191ceb2eb5e1cdc3130d035bcc8|df5324fd3274fde58787ad39a0bd129a,"Chuwi LapBook 15.6"" | Lenovo IdeaPad 120S-14IAP | Lenovo IdeaPad 100S-14IBR | Microsoft Surface Laptop | Lenovo IdeaPad 110-15IBR"
budget student laptop 8GB RAM,46,5,1,0,False,0.0,0.0,ram_gb >= 8,1519d24eacd69074bc8fce9afe8b45fe|278dc320581f2ab200f5108b15305d2f|84556cfbc29a31ddc8bd44b7a1842d43|8e62c8ad9f495809551c090e6e477543|dfd5c6c736499314c5af0560178dad58,"Acer Aspire Go 15 15.6"" - AMD Ryzen 7 5825U - 32GB RAM - 512GB SSD - Windows 11 Home (AG15-42P-R6GZ) | Lenovo IdeaPad Slim 3 15.3"" AMD Ryzen 7 8840HS Laptop 16GB Memory 512 GB SSD AMD Radeon 780M Windows 11 Home 83KA003DUS | Lenovo ThinkPad X1 Yoga G8 14"" Touch 2in1 Notebook Core i7-1355U 32GB 512GB W11P | Acer Aspire Go 15 15.6"" AMD Ryzen 7 5825U 48GB DDR4 Memory DDR4 3200 512GB PCIe Gen4 SSD Windows 11 Home AG15-42P-R6GZ | ASUS VivoBook 16"" Copilot+ PC Laptop AMD Ryzen AI 5 340 16GB Memory 512 GB NVMe SSD AMD Radeon 840M Windows 11 Home M1607KA-DS54"
high performance laptop 64GB RAM,22,5,1,1,True,0.2,0.045454545454545456,ram_gb >= 64,7ffd9fb0cdd8cc9350227b556ef392e1|88e2065a2ba9786e6b466540117277b9|d185d63b560dbb38bd3480c6a53d0171|de81e85ea5bb4e6608d670e745ba024f|dfd1ba16cd775c626c59a7fbfacbb483,"Lenovo 14.5"" ThinkPad P14s Gen 5 Laptop (Black) | HP 16"" ZBook X G2i Mobile Workstation | HP 2022 ProBook 445 G9 14"" Full HD 1920 x 1080 Ultrabook - AMD Ryzen 5 5625U Hexa-core (6 Core) - 64 GB RAM DDR4 512 GB SSD,Wi-Fi, Bluetooth, Webcam Windows 11 Pro with FREE HP Wings Backpack | Lenovo 14.5"" ThinkPad P14s Gen 5 Laptop (Black) | HP 14"" ZBook 8 G1as Mobile Workstation"
